n,x,y,k
328,0.684,0.395,5
329,0.651,0.434,5
330,0.642,0.275,5
331,0.620,0.476,5
332,0.689,0.479,5
333,0.729,0.322,5
334,0.585,0.364,5
335,0.595,0.417,5
336,0.669,0.238,5
337,0.646,0.273,5
338,0.615,0.360,5
339,0.678,0.428,5
340,0.703,0.405,5
341,0.678,0.312,5
342,0.613,0.271,5
343,0.651,0.272,5
344,0.644,0.425,5
345,0.632,0.379,5
346,0.614,0.464,5
347,0.637,0.479,5
348,0.688,0.364,5
349,0.664,0.334,5
350,0.620,0.311,5
351,0.778,0.209,5
352,0.662,0.405,5
353,0.656,0.357,5
354,0.687,0.362,5
355,0.618,0.395,5
356,0.657,0.394,5
357,0.645,0.372,5
358,0.688,0.398,5
359,0.705,0.311,5
360,0.685,0.342,5
361,0.735,0.318,5
362,0.605,0.351,5
363,0.550,0.400,5
364,0.748,0.267,5
365,0.697,0.265,5
366,0.694,0.356,5
367,0.592,0.415,5
368,0.652,0.347,5
369,0.689,0.357,5
370,0.772,0.344,5
371,0.593,0.383,5
372,0.637,0.371,5
373,0.640,0.367,5
374,0.671,0.424,5
375,0.632,0.382,5
376,0.683,0.392,5
377,0.696,0.265,5
378,0.701,0.530,5
379,0.662,0.523,5
380,0.742,0.268,5
381,0.656,0.284,5
382,0.566,0.547,5
383,0.636,0.317,5
384,0.663,0.345,5
385,0.606,0.439,5
386,0.671,0.453,5
387,0.580,0.521,5
388,0.629,0.359,5
389,0.590,0.446,5
390,0.687,0.340,5
391,0.480,0.219,6
392,0.418,0.291,6
393,0.336,0.397,6
394,0.433,0.377,6
395,0.345,0.306,6
396,0.408,0.260,6
397,0.495,0.221,6
398,0.402,0.298,6
399,0.404,0.253,6
400,0.416,0.402,6
401,0.422,0.323,6
402,0.466,0.489,6
403,0.327,0.395,6
404,0.449,0.326,6
405,0.261,0.300,6
406,0.447,0.295,6
407,0.422,0.273,6
408,0.362,0.311,6
409,0.458,0.241,6
410,0.371,0.360,6
411,0.370,0.396,6
412,0.393,0.296,6
413,0.390,0.368,6
414,0.334,0.431,6
415,0.363,0.282,6
416,0.368,0.269,6
417,0.327,0.402,6
418,0.419,0.376,6
419,0.455,0.292,6
420,0.395,0.390,6
421,0.373,0.382,6
422,0.488,0.338,6
423,0.288,0.451,6
424,0.391,0.373,6
425,0.309,0.403,6
426,0.405,0.288,6
427,0.360,0.430,6
428,0.311,0.384,6
429,0.361,0.443,6
430,0.376,0.397,6
431,0.361,0.385,6
432,0.479,0.263,6
433,0.483,0.251,6
434,0.345,0.345,6
435,0.440,0.198,6
436,0.417,0.197,6
437,0.421,0.232,6
438,0.323,0.295,6
439,0.336,0.331,6
440,0.404,0.220,6
441,0.448,0.215,7
442,0.578,0.153,7
443,0.535,0.171,7
444,0.467,0.203,7
445,0.507,0.089,7
446,0.520,0.084,7
447,0.497,0.143,7
448,0.540,0.224,7
449,0.457,0.187,7
450,0.588,0.078,7
451,0.496,0.212,7
452,0.636,0.069,7
453,0.439,0.170,7
454,0.533,0.173,7
455,0.492,0.214,7
456,0.562,0.076,7
457,0.479,0.277,7
458,0.492,0.131,7
459,0.545,0.132,7
460,0.489,0.199,7
461,0.483,0.111,7
462,0.564,0.032,7
463,0.425,0.166,7
464,0.488,0.212,7
465,0.550,0.095,7
466,0.547,0.056,7
467,0.392,0.260,7
468,0.474,0.118,7
469,0.490,0.205,7
470,0.445,0.133,7
471,0.510,0.246,7
472,0.554,0.126,7
473,0.505,0.112,7
474,0.537,0.227,7
475,0.547,0.130,7
476,0.566,0.119,7
477,0.556,0.178,7
478,0.550,0.169,7
479,0.548,0.128,7
480,0.590,0.120,7
481,0.555,0.109,8
482,0.613,0.104,8
483,0.810,0.125,8
484,0.627,0.091,8
485,0.783,0.082,8
486,0.748,0.085,8
487,0.694,0.054,8
488,0.721,0.027,8
489,0.806,0.049,8
490,0.655,0.088,8
491,0.685,0.122,8
492,0.680,0.074,8
493,0.733,0.152,8
494,0.789,0.146,8
495,0.799,0.054,8
496,0.783,0.126,8
497,0.653,0.151,8
498,0.639,0.096,8
499,0.659,0.084,8
500,0.794,0.086,8
501,0.662,0.110,8
502,0.788,0.125,8
503,0.582,0.125,8
504,0.730,0.148,8
505,0.605,0.156,8
506,0.715,0.067,8
507,0.647,0.117,8
508,0.675,0.069,8
509,0.731,0.136,8
510,0.758,0.051,8
511,0.633,0.121,8
512,0.719,0.090,8
513,0.672,0.103,8
514,0.713,0.076,8
515,0.667,0.134,8
516,0.662,0.080,8
517,0.764,0.081,8
518,0.669,0.106,8
519,0.750,0.074,8
520,0.741,0.108,8
521,0.608,0.080,8
522,0.692,0.100,8
523,0.776,0.064,8
524,0.711,0.038,8
525,0.676,0.107,8
526,0.733,0.076,8
527,0.675,0.081,8
528,0.699,0.157,8
529,0.660,0.042,8
530,0.608,0.093,8
531,0.667,0.047,8
532,0.740,0.058,8
533,0.622,0.026,8
534,0.546,0.133,8
535,0.651,0.095,8
536,0.752,0.063,8
537,0.718,0.075,8
538,0.561,0.110,8
539,0.681,0.146,8
540,0.685,0.092,8
541,0.745,0.117,9
542,0.832,0.199,9
543,0.789,0.096,9
544,0.820,0.197,9
545,1.000,0.289,9
546,0.845,0.140,9
547,0.836,0.159,9
548,0.865,0.147,9
549,0.887,0.212,9
550,0.851,0.171,9
551,0.697,0.095,9
552,0.784,0.136,9
553,0.862,0.194,9
554,0.838,0.175,9
555,0.779,0.112,9
556,0.731,0.185,9
557,0.699,0.035,9
558,0.732,0.031,9
559,0.865,0.118,9
560,0.761,0.078,9
561,0.729,0.137,9
562,0.709,0.024,9
563,0.873,0.227,9
564,0.935,0.210,9
565,0.756,0.111,9
566,0.785,0.217,9
567,0.795,0.056,9
568,0.853,0.165,9
569,0.808,0.088,9
570,0.701,0.133,9
571,0.901,0.242,9
572,0.816,0.219,9
573,0.848,0.120,9
574,0.731,0.149,9
575,0.827,0.130,9
576,0.783,0.134,9
577,0.818,0.232,9
578,0.859,0.115,9
579,0.926,0.269,9
580,0.725,0.164,9
581,0.708,0.077,9
582,0.734,0.065,9
583,0.760,0.083,9
584,0.953,0.257,9
585,0.808,0.140,9
586,0.773,0.132,9
587,0.717,0.107,9
588,0.828,0.075,9
589,0.826,0.143,9
590,0.909,0.210,9
591,0.834,0.115,9
592,0.778,0.165,9
593,0.861,0.189,9
594,0.807,0.190,9
595,0.732,0.079,9
596,0.881,0.228,9
597,0.803,0.159,9
598,0.900,0.184,9
599,0.694,0.140,9
600,0.821,0.242,9
601,0.803,0.108,9
602,0.789,0.089,9
603,0.936,0.291,9
604,0.839,0.217,9
605,0.746,0.043,9
606,0.789,0.158,9
607,0.735,0.063,9
608,0.791,0.064,9
609,0.827,0.145,9
610,0.777,0.116,9
611,0.750,0.136,9
612,0.835,0.099,9
613,0.862,0.118,9
614,0.797,0.046,9
615,0.790,0.100,9
616,0.858,0.133,9
617,0.735,0.086,9
618,0.763,0.062,9
619,0.807,0.129,9
620,0.831,0.147,9
621,0.812,0.165,9
622,0.874,0.181,9
623,0.833,0.117,9
624,0.792,0.231,9
625,0.879,0.231,9
626,0.641,0.151,9
627,0.864,0.144,9
628,0.871,0.216,9
629,0.810,0.121,9
630,0.722,0.001,9
631,0.811,0.128,9
632,0.890,0.212,9
633,0.789,0.151,9
634,0.747,0.122,9
635,0.759,0.093,9
636,0.747,0.184,9
637,0.798,0.065,9
638,0.916,0.279,9
639,0.828,0.218,9
640,0.793,0.158,9
641,0.824,0.135,9
642,0.862,0.187,9
643,0.837,0.123,9
644,0.720,0.115,9
645,0.804,0.058,9
646,0.771,0.043,9
647,0.739,0.046,9
648,0.907,0.219,9
649,0.849,0.118,9
650,0.763,0.092,9
651,0.856,0.217,9
652,0.828,0.099,9
653,0.793,0.154,9
654,0.690,0.107,9
655,0.901,0.229,9
656,0.751,0.119,9
657,0.742,0.083,9
658,0.829,0.132,9
659,0.793,0.133,9
660,0.815,0.160,9
661,0.869,0.218,9
662,0.848,0.194,9
663,0.945,0.212,9
664,0.785,0.106,9
665,0.740,0.142,9
666,0.779,0.214,9
667,0.805,0.149,9
668,0.849,0.211,9
669,0.795,0.183,9
670,0.744,0.114,9
671,0.930,0.245,9
672,0.844,0.177,9
673,0.751,0.073,9
674,0.820,0.145,9
675,0.932,0.196,9
676,0.811,0.076,9
677,0.680,0.044,9
678,0.773,0.141,9
679,0.890,0.144,9
680,0.809,0.088,9
681,0.836,0.252,9
682,0.763,0.153,9
683,0.778,0.176,9
684,0.747,0.089,9
685,0.909,0.203,9
686,0.826,0.187,9
687,0.890,0.227,9
688,0.819,0.155,9
689,0.816,0.109,9
690,0.824,0.155,9
691,0.750,0.109,9
692,0.838,0.084,9
693,0.862,0.229,9
694,0.831,0.216,9
695,0.865,0.245,9
696,0.812,0.189,9
697,0.777,0.167,9
698,0.718,0.184,9
699,0.808,0.195,9
700,0.811,0.186,9
701,0.803,0.171,9
702,0.803,0.213,9
703,0.746,0.037,9
704,0.776,0.155,9
705,0.777,0.089,9
706,0.802,0.112,9
707,0.628,0.000,9
708,0.835,0.145,9
709,0.823,0.199,9
710,0.766,0.155,9
711,0.759,0.069,9
712,0.760,0.184,9
713,0.885,0.179,9
714,0.726,0.112,9
715,0.758,0.147,9
716,0.813,0.165,9
717,0.779,0.169,9
718,0.859,0.191,9
719,0.808,0.057,9
720,0.722,0.044,9
721,0.861,0.323,10
722,0.901,0.266,10
723,0.891,0.167,10
724,0.910,0.274,10
725,0.902,0.362,10
726,0.919,0.367,10
727,0.903,0.432,10
728,0.916,0.393,10
729,0.943,0.508,10
730,0.932,0.294,10
731,0.896,0.302,10
732,0.876,0.267,10
733,0.884,0.256,10
734,0.894,0.286,10
735,0.881,0.180,10
736,0.786,0.276,10
737,0.958,0.359,10
738,0.952,0.314,10
739,0.905,0.306,10
740,0.954,0.387,10
741,0.934,0.417,10
742,0.927,0.319,10
743,0.832,0.175,10
744,0.937,0.266,10
745,0.840,0.196,10
746,0.910,0.293,10
747,0.875,0.266,10
748,0.921,0.230,10
749,0.814,0.275,10
750,0.886,0.236,10
751,0.932,0.303,10
752,0.873,0.186,10
753,0.892,0.231,10
754,0.943,0.355,10
755,0.871,0.338,10
756,0.969,0.364,10
757,0.976,0.348,10
758,0.893,0.198,10
759,0.938,0.225,10
760,0.915,0.164,10
761,0.884,0.232,10
762,0.949,0.299,10
763,0.904,0.322,10
764,0.947,0.321,10
765,0.900,0.335,10
766,0.888,0.369,10
767,0.896,0.309,10
768,0.864,0.227,10
769,0.874,0.144,10
770,0.890,0.228,10
